barangay_id, Barangay,Locality,Province,name,type,description,Address,Nearest Landmark,lat,long
1,Barangay 3,Lucena City,Quezon Province,LCDRRMC Covered Court,Covered Court,,"Lucena City, 4301 Quezon",Behind Metro Supermarket,13.93640507,121.6077226
1,Gulang-gulang,Lucena City,Quezon Province,North Employees Covered Court,Covered Court,,"871 Benjamen St, Lucena City, 4301 Quezon",,13.95119187,121.607381
1,Ibabang Dupay,Lucena City,Quezon Province,Brgy. Ibabang Dupay Basketball Court,Covered Court,,"Villa Consuelo Subdivision, Brgy, Lucena City, Quezon",Near LKS Security Agency,13.94435857,121.6221716
1,Barangay 9,Lucena City,Quezon Province,Basketball Covered Court (Helen Tan),Covered Court,,"Milagrosa Subd, San Pedro St, Lucena City, 4301 Quezon",,13.93141833,121.6183939
1,Mayao Castillo,Lucena City,Quezon Province,Mayao Castillo Covered Court,Covered Court,,"Mayao Castillo, Lucena City, 4301 Quezon",,13.92500666,121.6690457
1,Ibabang Iyam,Lucena City,Quezon Province,Landing Basketball Covered Court,Covered Court,,"Landing, Lucena City, 4301 Quezon",Behind Barangay Hall,13.93146826,121.6010157
1,Ibabang Iyam,Lucena City,Quezon Province,Ibabang Iyam Barangay Hall,Barangay Hall,,"Landing, Lucena City, 4301 Quezon",Beside Covered Court,13.93165538,121.6007978
1,Ilayang Iyam,Lucena City,Quezon Province,Ilayang Iyam Barangay Hall,Barangay Hall,,"Torres Subd, Lucena City, 4301 Quezon",,13.93669791,121.6028124
1,Barangay 5,Lucena City,Quezon Province,Barangay V Barangay Hall,Barangay Hall,,"Malvar St, Lucena City, 4301 Quezon",,13.93549918,121.6092282
1,Barangay 7,Lucena City,Quezon Province,Barangay VII Barangay Hall,Barangay Hall,,"M. H. del Pilar St, Lucena City, 4301 Quezon",,13.93320596,121.6108011
1,Barangay 1,Lucena City,Quezon Province,Barangay UNO Barangay Hall,Barangay Hall,,"10-18 P. Gomez St, Lucena City, 4301 Quezon","Sabina Rd, Behind Pacific Mall",13.93886095,121.6101709
1,Cotta,Lucena City,Quezon Province,Cotta Barangay Hall,Barangay Hall,,"San Fernando Compound, Lucena City, 4301 Quezon",,13.92478396,121.6134835
1,Dalahican,Lucena City,Quezon Province,Pamahalaang Gusali Barangay Dalahican,Barangay Hall,,"Dalahican Rd, Lucena City, 4301 Quezon",,13.90571357,121.6201403
1,Lucena City,Quezon Province,Barra Barangay Hall,Barangay Hall,,"Barra Rd, Lucena City, 4301 Quezon",,13.89846023,121.6050602
